row,final_classification,tier,signal,signal_count,g300_id,g300_name,g300_website,g300_created,g300_child_offices,g300_contacts,g300_opportunities,candidate_id,candidate_name,candidate_website,candidate_created,candidate_created_by,candidate_is_older,candidate_child_offices,candidate_contacts,candidate_opportunities,classifier_call,classifier_confidence,classifier_rationale,skeptic_agrees,skeptic_call,skeptic_rationale
85,duplicate,1,name_exact,1,001Px00000VvMHBIA3,McGuireWoods LLP,www.mcguirewoods.com,2021-01-20T20:19:58.000+0000,35,1536,683,001Px00000hloSjIAI,McGuire Woods,,2026-06-18T14:28:34.000+0000,Ron Dinkins,N,1,1,3,duplicate,high,"Spacing variant of McGuireWoods, created 2026-06-18 by Ron Dinkins with a blank website. Its Richmond Office (the firm's HQ city) has a contact with an @mcguirewoods.com email. It carries its own ALM_Account_ID__c (001Uz00001HBuxSIAT), which differs from the G300 record's; this is worth noting at merge.",Y,duplicate,"Confirmed live. 001Px00000hloSjIAI 'McGuire Woods' is a blank-website Firm record created 2026-06-18 by Ron Dinkins. Its one Office is in Richmond, VA, which is McGuireWoods' headquarters city. That Office's contact is Caden Cunningham, Compensation Manager, at @mcguirewoods.com, and its Opportunities are IPMA 2026 deals for McGuireWoods. It is a spacing variant of the same firm. It carries ALM_Account_ID__c 001Uz00001HBuxSIAT, which differs from the G300's 0011Q00002Ed0rIQAR; reconcile this at merge."
86,duplicate,1,name_exact,1,001Px00000VvMHBIA3,McGuireWoods LLP,www.mcguirewoods.com,2021-01-20T20:19:58.000+0000,35,1536,683,001Px00000hebUBIAY,McGuireWoods,,2026-07-25T18:12:16.000+0000,Kieran Hansen,N,1,2,8,duplicate,high,"Same firm name without the suffix, a blank-website Kieran Hansen record from 2026-07-25 with one Washington Office. Nothing suggests a separate entity; its contact Caitlin Parker has an mwaccel.com email.",Y,duplicate,"Confirmed live. This is a blank-website Kieran Hansen Firm record from 2026-07-25 with one Washington DC Office. Its contacts are Caitlin Parker (@mwaccel.com) and a 'Multipub Contact'. The mwaccel.com domain is McGuireWoods': the G300 hierarchy has Carter Arey (@mwaccel.com) under a McGuireWoods LLP Office, and Caitlin Parker also appears there as @mcguirewoods.com. The Office's 8 Opportunities are named 'MCGUIRE WOODS 587…' and 'Legalweek…McGuireWoods'. This is the same firm and a redundant Firm record."
87,duplicate,1,name_exact,1,001Px00000VvMHBIA3,McGuireWoods LLP,www.mcguirewoods.com,2021-01-20T20:19:58.000+0000,35,1536,683,001Px00000hebVcIAI,McGuireWoods LLP,,2026-07-25T18:12:23.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"Exact same name as the G300 record, a blank-website Kieran Hansen record from 2026-07-25 with one Atlanta Office and a single contact on a personal email domain. It is a redundant Firm record.",Y,duplicate,"Confirmed live. 001Px00000hebVcIAI has exactly the G300's name, 'McGuireWoods LLP', with a blank Website. It was created by Kieran Hansen on 2026-07-25 and has one Atlanta Office, a city where McGuireWoods has an office. Its only contact is Val Neighbors (@neighbors5.com, a personal domain). Nothing suggests a separate entity, so this is a redundant Firm record for the same firm."
88,duplicate,1,name_exact,1,001Px00000VvMHBIA3,McGuireWoods LLP,www.mcguirewoods.com,2021-01-20T20:19:58.000+0000,35,1536,683,001Px00000heYNZIA2,"McGuireWoods, LLP",,2026-07-25T18:12:02.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"Punctuation variant of McGuireWoods LLP, a blank-website Kieran Hansen record from 2026-07-25 with one Washington Office. Its contact is a Partner whose email is @mcguirewoods.om (a typo of .com).",Y,duplicate,"Confirmed live. 'McGuireWoods, LLP' is a punctuation variant with a blank Website, a Kieran Hansen record from 2026-07-25. Its one Washington DC Office holds Partner Julia Coleman at @mcguirewoods.om, a clear typo of mcguirewoods.com. This is the same firm and a redundant Firm record."
89,duplicate,1,name_exact,1,0016g00001AOKKlAAP,Michael Best & Friedrich LLP,www.michaelbest.com,2021-01-20T20:21:32.000+0000,14,238,115,001Px00000ihUHZIA2,Michael Best & Friedrich LLP,,2026-03-04T16:10:42.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"Exact same name as the G300 firm, created 2026-03-04 by Kieran Hansen with a blank website and one Washington Office, whose contact has a @michaelbest.com email. It has its own ALM_Account_ID__c (001Uz000016YGWDIA4), which differs from the G300 record's.",Y,duplicate,"Confirmed live. 001Px00000ihUHZIA2 has the exact G300 name, 'Michael Best & Friedrich LLP', with a blank Website. It was created 2026-03-04 by Kieran Hansen and has one Washington DC Office, whose contact Stacey Bowers uses @michaelbest.com, the G300's domain. From general knowledge, Michael Best has a DC office. This is the same firm and a redundant record. Its own ALM_Account_ID__c (001Uz000016YGWDIA4) differs from the G300's (0013600000IJWZSAA5), so reconcile this at merge."
90,duplicate,1,name_exact,1,0016g00001AOKWxAAP,Milbank LLP,www.milbank.com,2021-01-20T20:22:00.000+0000,15,903,875,001Px00000hebQBIAY,Milbank,,2026-07-25T18:12:09.000+0000,Kieran Hansen,N,1,1,1,duplicate,high,"This is the brand short form of Milbank LLP, created in the 2026-07-25 Kieran Hansen batch with a blank Website. Its one Office (Del Ray Beach) holds an End User Support contact (@milbankllp.com) whose opportunity is a Legalweek 2023 delegate sale, which fits law-firm staff and points to no separate entity.",Y,duplicate,"Checked live. 001Px00000hebQBIAY 'Milbank' is a Firm record with a blank Website, created 2026-07-25 18:12 by Kieran Hansen. It has one Office, 'Milbank' in Del Ray Beach, US. That Office holds one contact, Roman Ivan (End User Support, @milbankllp.com), and one Closed Won opp, 'SWOOGO Online Delegate Sales - Legalweek New York 2023 - Milbank - Roman Ivan'. A Legalweek delegate from 'Milbank' is law-firm IT staff, and nothing points to a separate entity, so the call holds. The evidence is thinner than 'high' suggests, though. Milbank has no Florida office, and milbankllp.com is not the firm's usual milbank.com domain; it is the only contact in the org on that domain. Treat it as a probable remote employee or a self-entered email."
91,duplicate,1,name_exact,1,0016g00001AOLbIAAX,"Morgan, Lewis & Bockius LLP",www.morganlewis.com,2021-01-20T20:24:02.000+0000,40,3786,1961,001Px00000j5OatIAE,Morgan Lewis & Bockius,,2026-08-20T18:17:12.000+0000,Kieran Hansen,N,1,1,2,duplicate,high,"The same firm name without the comma and 'LLP', created in the 2026-08-20 Kieran Hansen batch with a blank Website. Its Los Angeles Office contact has a morganlew(is) email, a typo of the firm's domain.",Y,duplicate,"Checked live. The Firm record, created 2026-08-20 18:17 by Kieran Hansen, has a blank Website. Its one Office is 'Morgan Lewis & Bockius' in Los Angeles, and Morgan Lewis does have an LA office. The contact is Henry Frederick, @morganlew.com, a truncated version of morganlewis.com (the name and email don't match, which is a separate data-quality issue). The two opps, 'Morgan Lewis & Bockius VSCA' and 'VSCOM', are 2019 subscription sales to the firm. This is the same firm with punctuation and suffix dropped, so it is a redundant record."
92,duplicate,1,name_exact,1,0016g00001AOLbIAAX,"Morgan, Lewis & Bockius LLP",www.morganlewis.com,2021-01-20T20:24:02.000+0000,40,3786,1961,001Px00000j4Y2rIAE,"Morgan, Lewis & Bockius LLP",,2026-08-20T14:54:08.000+0000,Sneha Mekala,N,1,1,1,duplicate,high,"The name is identical to the G300 record (created 2026-08-20 by Sneha Mekala, blank Website). Its New York Office has website www.morganlewis.com and a Director of Information Governance contact @morganlewis.com.",Y,duplicate,"Checked live. The name matches the G300 record exactly: Firm record 001Px00000j4Y2rIAE, created 2026-08-20 by Sneha Mekala, blank Website, Industry Legal Services. Its New York Office has Website www.morganlewis.com. The contact is Rudy Moliere (Director of Information Governance, @morganlewis.com), and the opp is a Legalweek 2023 delegate sale for 'Morgan, Lewis & Bockius LLP'. This is plainly a redundant record."
93,duplicate,1,name_exact,1,0016g00001AOM5kAAH,"Munger, Tolles & Olson LLP",www.mto.com,2021-01-20T20:25:02.000+0000,5,132,147,001Px00000i0i30IAA,"Munger, Tolles & Olson LLP",,2026-07-31T13:32:11.000+0000,Sindushree Chinnagundanahalli Seetharam,N,1,1,1,duplicate,high,"The name is identical to the G300 record (created 2026-07-31 by Sindushree Chinnagundanahalli Seetharam, blank Website). Its Los Angeles Office has website www.mto.com and a Senior Research Librarian contact @mto.com.",Y,duplicate,"Checked live. The name matches the G300 record exactly: Firm record 001Px00000i0i30IAA, Industry Legal Services, blank Website, created 2026-07-31 by Sindushree Chinnagundanahalli Seetharam. Its Los Angeles Office (Munger Tolles' headquarters) has Website www.mto.com, and that Office was created 2026-07-28 by Linda Stojek. The contact is Cindy Weller (Senior Research Librarian, @mto.com), and the opp is 'AALL 2026 Cleveland'. This is plainly a redundant record."
94,duplicate,1,name_exact,1,0016g00001ANtRdAAL,Nelson Mullins Riley & Scarborough LLP,www.nelsonmullins.com,2021-01-20T19:28:50.000+0000,38,1230,495,001Px00000hebVdIAI,Nelson Mullins Riley & Scarborough,,2026-07-25T18:12:23.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"This is the G300 name without 'LLP', created in the 2026-07-25 Kieran Hansen batch with a blank Website. Its Office is in Columbia SC, the firm's headquarters, and holds a Partner contact at nelsonmullns.com, a typo of nelsonmullins.com.",Y,duplicate,"Checked live. The Firm record, created 2026-07-25 18:12 by Kieran Hansen, has a blank Website. Its one Office is in Columbia, South Carolina, which is Nelson Mullins' headquarters. The one contact is Sally Caver, Partner, @nelsonmullns.com, a typo of nelsonmullins.com; it is the only address in the org on that misspelled domain. The name is the G300 name minus 'LLP'. This is a redundant record of the same firm."
95,predecessor_or_legacy,1,alias_exact,1,001Px00000VvZUUIA3,Norton Rose Fulbright,www.nortonrosefulbright.com,2021-01-20T20:28:44.000+0000,75,6285,3197,001Px00000Vy8iQIAR,Fulbright & Jaworski,,2025-11-13T16:01:26.000+0000,Kieran Hansen,N,2,42,14,predecessor_or_legacy,high,"From general knowledge, Fulbright & Jaworski combined with Norton Rose in 2013 to form Norton Rose Fulbright. The record's Dallas and Houston Offices hold 42 contacts mixing legacy @fulbright.com and current @nortonrosefulbright.com emails, so this is the predecessor firm name.",Y,predecessor_or_legacy,"Checked live. The Firm record, created 2025-11-13 by Kieran Hansen, has a blank Website and two Offices, Dallas and Houston. All 42 contacts sit on the Dallas Office; the reviewer said they were spread across Dallas and Houston, but Houston has none. The contacts mix legacy @fulbright.com and current @nortonrosefulbright.com addresses, plus some misfiled client in-house counsel at prudential.com and weatherford.com. One of the opps is named 'Norton Rose Fulbright-1505727-2019 VSTX'. From general knowledge, Fulbright & Jaworski combined with Norton Rose in 2013 and its US entity became Norton Rose Fulbright US LLP, which appears as the US Offices under this G300. This is the former name of the G300 firm, which fits the predecessor_or_legacy definition."
96,predecessor_or_legacy,1,alias_exact,1,001Px00000VvZUUIA3,Norton Rose Fulbright,www.nortonrosefulbright.com,2021-01-20T20:28:44.000+0000,75,6285,3197,001Px00000j5PGvIAM,Fulbright Jaworski,,2026-08-20T18:19:21.000+0000,Kieran Hansen,N,1,1,35,predecessor_or_legacy,high,"The name is a variant of Fulbright & Jaworski, which from general knowledge merged with Norton Rose in 2013 to form Norton Rose Fulbright. It was created 2026-08-20 by Kieran Hansen with a blank Website and has an Austin Office. Three identical 'Fulbright Jaworski' Firm records were created in the same second.",Y,predecessor_or_legacy,"Checked live. 001Px00000j5PGvIAM is one of three 'Fulbright Jaworski' Firm records created at 2026-08-20 18:19:21 by Kieran Hansen, all with blank Websites. It has one Office in Austin TX; Norton Rose Fulbright US has an Austin office under the G300. The contact is Sheila Sokolowski, with no email. The opps are 'FULBRIGHT JAWORSKI 686…' subscription renewals from 2019 to 2024, billed under the legacy name. From general knowledge, Fulbright & Jaworski is the pre-2013 name of the US arm of Norton Rose Fulbright, so this is a legacy-name record. It also duplicates the other two same-second records (rows 97 and 98)."
97,predecessor_or_legacy,1,alias_exact,1,001Px00000VvZUUIA3,Norton Rose Fulbright,www.nortonrosefulbright.com,2021-01-20T20:28:44.000+0000,75,6285,3197,001Px00000j5PGwIAM,Fulbright Jaworski,,2026-08-20T18:19:21.000+0000,Kieran Hansen,N,1,1,30,predecessor_or_legacy,high,This is the predecessor name of Norton Rose Fulbright (from general knowledge: the 2013 Fulbright & Jaworski / Norton Rose combination). It was created 2026-08-20 by Kieran Hansen with a blank Website and has an Austin Office. It is one of three identical same-second 'Fulbright Jaworski' records.,Y,predecessor_or_legacy,"Checked live. 001Px00000j5PGwIAM is the second of the three same-second 'Fulbright Jaworski' records created 2026-08-20 by Kieran Hansen, with a blank Website. It has one Office in Austin TX and one contact, Chris Jacobs, with no email. The opps are 'FULBRIGHT JAWORSKI 686…' renewals from 2019 to 2024 (R25, EBR27, R30, ONL, EBR33, R36). From general knowledge, this is the legacy name of Norton Rose Fulbright's US arm since the 2013 combination. Per the category definition, that makes it predecessor_or_legacy rather than duplicate."
98,predecessor_or_legacy,1,alias_exact,1,001Px00000VvZUUIA3,Norton Rose Fulbright,www.nortonrosefulbright.com,2021-01-20T20:28:44.000+0000,75,6285,3197,001Px00000j5PGxIAM,Fulbright Jaworski,,2026-08-20T18:19:21.000+0000,Kieran Hansen,N,1,1,35,predecessor_or_legacy,high,This is the predecessor name of Norton Rose Fulbright (from general knowledge: the 2013 Fulbright & Jaworski / Norton Rose combination). It was created 2026-08-20 by Kieran Hansen with a blank Website and has a New York Office. It is one of three identical same-second 'Fulbright Jaworski' records.,Y,predecessor_or_legacy,"Checked live. 001Px00000j5PGxIAM is the third same-second 'Fulbright Jaworski' record, created 2026-08-20 by Kieran Hansen with a blank Website. It has one Office in New York and one contact, Kathryn Keneallyn, with no email. The opps are 'FULBRIGHT JAWORSKI 610…' renewals from 2019 to 2025, billed under the legacy name. From general knowledge, Fulbright & Jaworski merged with Norton Rose in 2013 to form Norton Rose Fulbright, so this is a legacy-name record for humans to merge or keep as history."
99,duplicate,1,name_exact,1,001Px00000VvZUUIA3,Norton Rose Fulbright,www.nortonrosefulbright.com,2021-01-20T20:28:44.000+0000,75,6285,3197,001Px00000heXDiIAM,Norton Rose Fulbright,,2026-07-25T18:12:42.000+0000,Kieran Hansen,N,1,2,0,duplicate,high,"The name is identical to the G300 record, created in the 2026-07-25 Kieran Hansen batch with a blank Website. Its Washington DC Office has Associate contacts @nortonrosefulbright.com, and nothing in the record points to a separate country entity.",Y,duplicate,"Checked live. The name matches the G300 record exactly: Firm record 001Px00000heXDiIAM, created 2026-07-25 18:12 by Kieran Hansen, blank Website. Its one Office is in Washington DC; the G300 already has 'Norton Rose Fulbright US LLP' Washington DC Offices. The contacts are Ian Slingsby (Associate, @nortonrosefulbright.com) and Antonina Peshkova (Associate, @nortonrosefulbright.co, a truncated domain). The name is not a country entity such as '... Canada LLP' or '... Australia', and it has no distinct website. This is a redundant record of the same firm."
100,duplicate,1,name_exact,1,001Px00000VviUAIAZ,"Offit Kurman, P.A.",www.offitkurman.com,2021-01-20T20:29:55.000+0000,23,354,75,001Px00000igwkCIAQ,Offit Kurman,,2026-03-26T17:39:37.000+0000,Scott Lewis,N,1,2,4,duplicate,high,"This is the same firm name without the 'P.A.' suffix. Its only child Office is 'Offit Kurman, P.A' (Philadelphia, website www.offitkurman.com), and its contact uses an @offitkurman.com email. Nothing points to a separate entity, so it is a redundant Firm record.",Y,duplicate,"Checked live. The Firm record 'Offit Kurman' (created 2026-03-26 by Scott Lewis) has a blank Website and no parent. Its one Office is 'Offit Kurman, P.A' in Philadelphia, website www.offitkurman.com. Contact Danielle Friedman (@offitkurman.com) also exists under the G300 Offit Kurman hierarchy with the same email. The 4 opportunities are 'OFFIT KURMAN PAST20/21' imports. Same firm, redundant record."
101,duplicate,1,name_exact,1,001Px00000VvxRZIAZ,Paul Hastings LLP,www.paulhastings.com,2021-01-20T20:09:18.000+0000,29,1960,1006,001Px00000heahMIAQ,Paul Hastings LLP,,2026-07-25T18:10:33.000+0000,Kieran Hansen,N,1,2,0,duplicate,high,"The name matches the G300 firm exactly. It was created in the 2026-07-25 batch with a blank Website. Its child Office is in New York, and one contact has an @paulhastings.com email. It is a redundant Firm record.",Y,duplicate,"Checked live. The name is exactly 'Paul Hastings LLP' (2026-07-25 batch, blank Website). Its Office is in New York. Contact Yasmine Mohamed has @paulhastings.com. A second contact, Greg Nitzkowski (Consultant, @goodtablefoundation.org), looks misattached, but that does not change the firm identity. Redundant Firm record."
102,duplicate,1,name_exact,1,001Px00000VvxRZIAZ,Paul Hastings LLP,www.paulhastings.com,2021-01-20T20:09:18.000+0000,29,1960,1006,001Px00000hebd3IAA,Paul Hastings LLP,,2026-07-25T18:12:56.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"The name matches exactly. It was created in the 2026-07-25 batch with a blank Website. Its child Office is in New York, and the one contact is 'Of Counsel' with an email at paulhaastings.com, a typo of the firm's domain. It is a redundant Firm record, and a second duplicate alongside row 101.",Y,duplicate,"Checked live. The name is exactly 'Paul Hastings LLP' (2026-07-25 batch, blank Website), with its Office in New York. Contact Rob Wilson (Of Counsel) has @paulhaastings.com, and the same person exists under the G300 Paul Hastings hierarchy as @paulhastings.com, which confirms the typo and the identity. Redundant record, a second duplicate alongside row 101."
103,duplicate,1,name_exact,1,001Px00000VvpWQIAZ,Perkins Coie LLP,www.perkinscoie.com,2021-01-20T20:33:56.000+0000,34,1914,927,001Px00000hebeEIAQ,Perkins Coie LLP,,2026-07-25T18:12:56.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"The name matches exactly. It was created in the 2026-07-25 batch with a blank Website. Its child Office is in Washington, DC, and the contact's email is at perksincoie.com, a typo of the firm's domain. It is a redundant Firm record.",Y,duplicate,"Checked live. The name is exactly 'Perkins Coie LLP' (2026-07-25 batch, blank Website), with its Office in Washington DC. Contact Ann Marie Painter has @perksincoie.com, a typo of the firm's domain, and the same person also exists under the G300 Perkins Coie hierarchy. The pending Ashurst/Perkins Coie combination (general knowledge) does not matter here, because the names are identical. Redundant record."
104,duplicate,1,name_exact,1,001Px00000VvpWQIAZ,Perkins Coie LLP,www.perkinscoie.com,2021-01-20T20:33:56.000+0000,34,1914,927,001Px00000j5KN9IAM,Perkins Coie LLP,,2026-08-20T18:20:06.000+0000,Kieran Hansen,N,1,1,55,duplicate,high,"The name matches exactly. It was created in the 2026-08-20 batch with a blank Website. Its child Office is in Seattle, the firm's headquarters, with a 'Library - Pao' contact. It is a redundant Firm record, and its 55 opportunities would need re-parenting in any merge.",Y,duplicate,"Checked live. The name is exactly 'Perkins Coie LLP' (2026-08-20 batch, blank Website), with its Office in Seattle, the firm's headquarters. The contact is 'Library - Pao'. The 55 opportunities are imported historical 'PERKINS COIE LLP ...' opportunities from 2019-2020, all on the Seattle office, and would need re-parenting. Same firm, redundant record."
105,duplicate,1,name_exact,1,001Px00000VvMGjIAN,Phelps Dunbar LLP,www.phelps.com,2021-01-20T20:34:27.000+0000,18,212,117,001Px00000j5KNOIA2,Phelps Dunbar,,2026-08-20T18:20:06.000+0000,Kieran Hansen,N,1,1,2,duplicate,high,"This is the same firm name without 'LLP'. It was created in the 2026-08-20 batch with a blank Website, and its child Office is in New Orleans, the firm's headquarters. Nothing points to a separate entity, so it is a redundant Firm record.",Y,duplicate,"Checked live. The record is 'Phelps Dunbar' (2026-08-20 batch, blank Website), with its Office in New Orleans, the firm's headquarters. Contact Gigi Roth has no email. The 2 opportunities are 'PHELPS DUNBAR TXINS20' imports. Nothing points to a separate entity, so it is a redundant record for Phelps Dunbar LLP."
106,duplicate,1,name_exact,1,001Px00000VvMGjIAN,Phelps Dunbar LLP,www.phelps.com,2021-01-20T20:34:27.000+0000,18,212,117,001Px00000j5KNPIA2,Phelps Dunbar LLP,,2026-08-20T18:20:06.000+0000,Kieran Hansen,N,1,1,2,duplicate,high,"The name matches the G300 firm exactly. It was created in the 2026-08-20 batch with a blank Website, and its child Office is in New Orleans with a 'Library' contact. It is a redundant Firm record, and a second duplicate alongside row 105.",Y,duplicate,"Checked live. The name is exactly 'Phelps Dunbar LLP' (2026-08-20 batch, blank Website), with its Office in New Orleans and a 'Library' contact. The 2 opportunities are 'Phelps Dunbar LLP VSTX' imports. Redundant record, a second duplicate alongside row 105."
107,duplicate,1,name_exact,1,0016g00001AOQn7AAH,Pillsbury Winthrop Shaw Pittman LLP,www.pillsburylaw.com,2021-01-20T20:34:51.000+0000,20,965,1135,001Px00000heQV1IAM,Pillsbury Winthrop Shaw Pittman LLP,,2026-07-25T18:12:59.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"The name matches exactly. It was created in the 2026-07-25 batch with a blank Website. Its child Office is in San Francisco, and the one contact is Counsel with an email at pillsurylaw.com, a typo of pillsburylaw.com. It is a redundant Firm record.",Y,duplicate,"Checked live. The name is exactly 'Pillsbury Winthrop Shaw Pittman LLP' (2026-07-25 batch, blank Website), with its Office in San Francisco. Contact Alekzandir Morton has @pillsurylaw.com, and the same person exists under the G300 Pillsbury hierarchy with @pillsburylaw.com, which confirms the typo and the identity. Redundant record."
108,duplicate,1,name_exact,1,0016g00001AOQqBAAX,Pinsent Masons LLP,www.pinsentmasons.com,2021-01-20T20:34:57.000+0000,28,2535,1176,001Px00000cAVQZIA4,Pinsent Masons,,2026-01-12T12:54:00.000+0000,Kieran Hansen,N,1,4,3,duplicate,high,"This is the same firm name without 'LLP'. It was created 2026-01-12 by Kieran Hansen with a blank Website. Its child Office is in London, and all four contacts have @pinsentmasons.com emails. It is a redundant Firm record.",Y,duplicate,"Checked live. The record is 'Pinsent Masons' (created 2026-01-12 by Kieran Hansen, blank Website), with its Office in London, the firm's headquarters. All 4 contacts (Cowan, Bucknall, Levers, Gornikowska) have @pinsentmasons.com. The 3 opportunities are British Legal Awards / LIL event deals for Pinsent Masons. Same firm, redundant record."
109,duplicate,1,name_exact,1,001Px00000VvRLQIA3,Proskauer Rose LLP,www.proskauer.com,2021-01-20T20:36:59.000+0000,28,913,1278,001Px00000j5PSOIA2,Proskauer Rose,,2026-08-20T18:20:12.000+0000,Kieran Hansen,N,1,1,40,duplicate,high,"Proskauer Rose LLP without the suffix. Kieran Hansen created it on 2026-08-20 with a blank Website. Its only child Office is Proskauer Rose in New York, and that Office's contact Steven Kayman is a known Proskauer partner (general knowledge). Nothing points to a separate entity, so this is a redundant Firm record.",Y,duplicate,"Checked live. 001Px00000j5PSOIA2 is a Firm record, not G300, with a blank Website, created by Kieran Hansen on 2026-08-20. It has one child Office, 001Px00000j5NMHIA2 'Proskauer Rose' at 11 Times Sq Fl 17, New York. That is Proskauer's HQ building, and the G300 firm already has Offices at 11 Times Square. The Office's one contact is Steven Kayman, a Proskauer partner (general knowledge), and it has 40 opps closing 2019-2026. Nothing points to a separate entity, so this is a redundant Firm record for the same firm."
110,duplicate,1,name_exact,1,001Px00000VvRLQIA3,Proskauer Rose LLP,www.proskauer.com,2021-01-20T20:36:59.000+0000,28,913,1278,001Px00000j5PSPIA2,Proskauer Rose,,2026-08-20T18:20:12.000+0000,Kieran Hansen,N,1,1,40,duplicate,high,"Same name without the suffix, from the same 2026-08-20 Kieran Hansen batch with a blank Website. Its one New York Office holds contact Jeffrey D. Neuburger, a known Proskauer partner (general knowledge). This is a redundant Firm record.",Y,duplicate,"Checked live. 001Px00000j5PSPIA2 is a Firm record with a blank Website from the same 2026-08-20 Kieran Hansen batch. Its one Office, 001Px00000j5NMIIA2, is at 11 Times Sq Ste 2654, New York, which is Proskauer's HQ building. The Office's contact is Jeffrey D. Neuburger, a Proskauer partner (general knowledge), and it has 40 opps from 2019-2026. This is a redundant Firm record for the G300 firm."
111,duplicate,1,name_exact,1,001Px00000VvRLQIA3,Proskauer Rose LLP,www.proskauer.com,2021-01-20T20:36:59.000+0000,28,913,1278,001Px00000j5PSQIA2,Proskauer Rose,,2026-08-20T18:20:12.000+0000,Kieran Hansen,N,1,1,129,duplicate,high,"Same name without the suffix, from the same 2026-08-20 Kieran Hansen batch with a blank Website. Its one New York Office holds contact Jonathan Mollod, a known Proskauer attorney (general knowledge). This is a redundant Firm record.",Y,duplicate,"Checked live. 001Px00000j5PSQIA2 is a Firm record with a blank Website from the 2026-08-20 Kieran Hansen batch. Its one Office, 001Px00000j5NMJIA2, is at 11 Times Square, New York. The Office's contact is Jonathan Mollod, a Proskauer attorney (general knowledge), and it has 129 opps from 2019-2026. Same firm, redundant Firm record."
112,duplicate,1,name_exact,1,001Px00000VvRLQIA3,Proskauer Rose LLP,www.proskauer.com,2021-01-20T20:36:59.000+0000,28,913,1278,001Px00000j5PSSIA2,Proskauer Rose LLP,,2026-08-20T18:20:12.000+0000,Kieran Hansen,N,1,0,0,duplicate,high,"The name is exactly the same as the G300 record's. It came from the 2026-08-20 Kieran Hansen batch with a blank Website, and its single child Office is Proskauer Rose LLP in Boston, a real Proskauer office. This is a redundant Firm record.",Y,duplicate,"Checked live. 001Px00000j5PSSIA2 has exactly the G300 name, 'Proskauer Rose LLP', and a blank Website, and came from the 2026-08-20 batch. Its only Office, 001Px00000j5NMLIA2, is at 'Library, 1 International Place, 22nd Floor', Boston. The G300 firm already has Boston Offices at One International Place, Fl 22. It has no contacts or opps. This is an empty redundant Firm record."
113,duplicate,1,name_exact,1,001Px00000VvRLQIA3,Proskauer Rose LLP,www.proskauer.com,2021-01-20T20:36:59.000+0000,28,913,1278,001Px00000jAIvAIAW,Proskauer Rose LLP,,2026-08-22T10:39:50.000+0000,Kieran Hansen,N,1,2,42,duplicate,high,"The name is exactly the same as the G300 record's. It came from the 2026-08-22 Kieran Hansen batch with a blank Website. Its Boston child Office holds contact Devin Cohen, Partner, @proskauer.com, which is the G300 firm's domain. This is a redundant Firm record.",Y,duplicate,"Checked live. 001Px00000jAIvAIAW has exactly the G300 name and a blank Website, and came from the 2026-08-22 Kieran Hansen batch. Its Office, 001Px00000jAGtNIAW, is the same Boston address, 1 International Place 22nd Floor. The Office holds two contacts: a 'Library' contact and Devin Cohen, Partner, @proskauer.com, which is the G300 domain. It also has 42 opps from 2019-2021. It duplicates both the G300 firm and the row 112 record."
114,duplicate,1,name_exact,1,001Px00000VvRLQIA3,Proskauer Rose LLP,www.proskauer.com,2021-01-20T20:36:59.000+0000,28,913,1278,001Px00000j5PSTIA2,"Proskauer Rose, LLP",,2026-08-20T18:20:12.000+0000,Kieran Hansen,N,1,1,2,duplicate,high,"The only difference from the G300 name is a comma. It came from the 2026-08-20 Kieran Hansen batch with a blank Website. Its single child Office is in Newark, NJ, a real Proskauer office (general knowledge), and holds a 'Library' contact. This is a redundant Firm record.",Y,duplicate,"Checked live. 001Px00000j5PSTIA2, 'Proskauer Rose, LLP', differs from the G300 name only by a comma. It has a blank Website and came from the 2026-08-20 batch. Its Office, 001Px00000j5NMMIA2, is at One Newark Center, 17th Fl, Newark NJ, and the G300 firm already has a Newark Office at One Newark Center. The Office has a 'Library' contact and 2 opps closing 2019-12-09. This is a punctuation-variant duplicate."
